Date,Color,Breed,Sex,State,Name,DateCreated
2015-04-04,Golden,Retriever,M,Matched,Tully,2015-04-04
2015-04-05,Golden,Retriever,M,Lost,Lad,2015-04-05
2015-04-07,Black,Pomeranian,M,Lost,Bb,2015-04-07
2015-04-07,White,Golden Retriever,M/N,Lost,Sparky,2015-04-07
2015-04-07,Black,Poodle X,M,Lost,Duque,2015-04-07
2015-04-08,Tan,Chihuahua,F,Lost,Daisy,2015-04-08
2015-04-08,Black,Dsh,M/N,Lost,Dukie,2015-04-08
2015-04-09,Black,Shih Tzu,M,Matched,Budabud,2015-04-09
2015-04-09,Black,Jack Russell Terrier,M,Lost,Jackie/jack,2015-04-09
2015-04-10,Grey,Pit Bull,M,Lost,Spike,2015-04-10
2015-04-10,Golden,Golden Retriever,M,Lost,Lucky,2015-04-10
2015-04-10,Brown,Eng. Bulldog,M,Matched,Biggy,2015-04-10
2015-04-12,Black,Coonhound,F,Matched,Rolo,2015-04-12
2015-04-13,Black,Calico,F,Lost,Venus,2015-04-13
2015-04-13,Brown,.Unknown Breed Mix,M/N,Lost,Leonard,2015-04-13
2015-04-13,Black,Dsh,F/S,Lost,Febe,2015-04-13
2015-04-15,Black,Pug X,M,Matched,Trucker,2015-04-15
2015-04-16,Grey,Domestic,M,Lost,Shady,2015-04-16
2015-04-16,Brown,Jack Russell Terrier,M,Matched,Patches,2015-04-16
2015-04-16,White,Calico,F,Lost,Edie,2015-04-16
2015-04-17,Black,Schnauzer,F,Matched,Stella,2015-04-17
2015-04-17,White,Lionhead Dwarf,,Lost,Aby,2015-04-17
2015-04-17,Tan,Greyhound,F/S,Lost,Marlyana,2015-04-17
2015-04-17,Black,Domestic,F,Matched,No Name,2015-04-17
2015-04-18,Brown,Airedale,M,Lost,Eddy,2015-04-18
2015-04-19,Black,Japanese Chin,,Lost,Miso,2015-04-19
2015-04-21,Black,Border Collie,F,Lost,Ethel,2015-04-21
2015-04-21,Brindle,Boston Terrier,M,Matched,Puck,2015-04-21
2015-04-22,Brown,Chihuahua,M,Matched,River,2015-04-22
2015-04-22,Black,Dsh,M,Lost,Simon,2015-04-22
2015-04-23,Grey,Husky X,M,Lost,Puddles,2015-04-23
2015-04-26,Tan,Germ. Shepherd,M,Matched,Miko,2015-04-26
2015-04-27,Black,Rottie X,M,Matched,Iskit,2015-04-27
2015-04-27,Brown,Tabby,M,Lost,Davidson,2015-04-27
2015-04-28,Brown,Dlh,F,Lost,Kitty,2015-04-28
2015-04-29,Brown,Dsh,M,Lost,No Name,2015-04-29
2015-04-29,Black,Germ. Shepherd,F,Lost,Matilda,2015-04-29
2015-05-01,White,Terrier X,M,Matched,Gus,2015-05-01
2015-05-01,Cream,Germ. Shepherd,,Lost,Cassie,2015-05-01
2015-05-02,Apricot,Toy Poodle,F,Lost,Chyoba,2015-05-02
2015-05-04,Black,Labrador,F,Lost,Haley,2015-05-04
2015-05-04,White,Calico,F,Lost,No Name,2015-05-04
2015-05-04,White,Chihuahua,M,Lost,Chico,2015-05-04
2015-05-04,Grey,,M,Lost,Dusty,2015-05-04
2015-05-06,Grey,Dsh,M,Lost,Dexter,2015-05-06
2015-05-06,Brown,Chicken,,Lost,No Name,2015-05-06
2015-05-06,Black,Chihuahua,M,Matched,Nacho,2015-05-06
2015-05-07,Black,Lab X,F/S,Matched,Sheabah,2015-05-07
2015-05-07,White,Dsh Tabby,M,Lost,Brugho,2015-05-07
2015-05-07,Brown,Labrador,M,Lost,Mojo,2015-05-07
2015-05-07,,Yorkie X,F,Lost,Mochalino,2015-05-07
2015-05-08,Black,.Unknown Breed Mix,F,Lost,Stella,2015-05-08
2015-05-09,Black,Labrador,M,Matched,Duke,2015-05-09
2015-05-09,Black,Dsh,F,Lost,Lucky,2015-05-09
2015-05-09,Black,Aust. Shepherd,M,Matched,Ronaldo,2015-05-09
2015-05-09,Black,Toy Poodle,F,Lost,Baby,2015-05-09
2015-05-10,Black,Doberman Pinscher,M,Matched,Zeus,2015-05-10
2015-05-11,Cream,Lhasa Apso,F,Lost,Eliza,2015-05-11
2015-05-11,Black,Yorkshire Terrier,M,Lost,Chewy,2015-05-11
2015-05-11,Blue,Macaw Parrot,M,Lost,Baby Picasso,2015-05-11
2015-05-12,White,Samoyed,F,Lost,Bobby,2015-05-12
2015-05-12,Grey,Tabby,M/N,Lost,Benny,2015-05-12
2015-05-12,White,Samoyed,F,Lost,Bobby,2015-05-12
2015-05-13,Brown,Boxer,F,Lost,Bella,2015-05-13
2015-05-14,Brown,Fox Terrier,F,Lost,No Name,2015-05-14
2015-05-15,Tan,Chihuahua,F,Lost,Peyton,2015-05-15
2015-05-15,Brown,Chihuahua,F,Lost,Emme,2015-05-15
2015-05-16,Black,Dsh,M,Lost,Blackberry,2015-05-16
2015-05-17,White,Fox Terrier,F,Matched,Franky,2015-05-17
2015-05-17,Black,Dsh,,Lost,No Name,2015-05-17
2015-05-19,Black,Labrador,F,Lost,Jager,2015-05-19
2015-05-19,Yellow,Labrador,M,Matched,Willie,2015-05-19
2015-05-20,Black,Miniature Pinscher,M,Matched,Livo,2015-05-20
2015-05-20,Golden,Chihuahua,F,Lost,Peyton,2015-05-20
2015-05-20,White,Cockatiel,M,Lost,Ala,2015-05-20
2015-05-20,Red,Hound,F,Matched,Rascal,2015-05-20
2015-05-20,Black,Pit X,F,Lost,Lexi,2015-05-20
2015-05-21,Grey,Persian,F,Lost,Henrietta,2015-05-21
2015-05-21,White,Orange Tabby,M,Lost,Robby,2015-05-21
2015-05-22,White,French Bulldog,M,Lost,Archer,2015-05-22
2015-05-22,Yellow,Labrador,M,Lost,Oliver,2015-05-22
2015-05-23,Grey,Abithinian Cat,F,Lost,Tari,2015-05-23
2015-05-23,Cream,Husky,F,Matched,Colina,2015-05-23
2015-05-23,Black,Husky X,M,Matched,Zorro,2015-05-23
2015-05-23,Tan,Bullmastiff,M,Lost,Thunder,2015-05-23
2015-05-23,Black,Shepherd,F,Matched,Precious,2015-05-23
2015-05-23,Black,Mixed,F,Lost,Lucy,2015-05-23
2015-05-23,Tan,French Bulldog,M,Matched,Kobe,2015-05-23
2015-05-24,White,Tabby Cat,F,Lost,Snowy,2015-05-24
2015-05-24,Blue,Budgie,M,Lost,No Name,2015-05-24
2015-05-24,Yellow,Budgie,,Lost,No Name,2015-05-24
2015-05-24,Tan,Chihuahua,F,Lost,Peyton,2015-05-24
2015-05-24,Black,Dsh,,Lost,Juniper,2015-05-24
